"# Sensor Name: external_sensor, Pin: 10, InfluxDB Org: thz_lab, InfluxDB Bucket: sensor_data"
date,time,temperature,humidity
2025-10-01,00:00:30,21.3,44.0
2025-10-01,00:01:00,21.3,44.1
2025-10-01,00:01:30,21.3,44.1
2025-10-01,00:02:00,21.3,44.0
2025-10-01,00:02:30,21.3,44.0
2025-10-01,00:03:00,21.4,44.0
2025-10-01,00:03:30,21.4,44.0
2025-10-01,00:04:00,21.4,43.9
2025-10-01,00:04:30,21.5,43.8
2025-10-01,00:05:00,21.5,43.8
2025-10-01,00:05:30,21.5,43.7
2025-10-01,00:06:00,21.5,43.7
2025-10-01,00:06:30,21.4,43.8
2025-10-01,00:07:00,21.4,43.9
2025-10-01,00:07:30,21.4,43.9
2025-10-01,00:08:00,21.5,43.9
2025-10-01,00:08:30,21.5,43.8
2025-10-01,00:09:00,21.4,43.9
2025-10-01,00:09:30,21.4,43.8
2025-10-01,00:10:00,21.5,43.8
